Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_2,3,1024,512,0.208439,2
lu_omp_2,3,1024,512,0.2085,2
lu_omp_2,3,1024,512,0.208192,2
lu_omp_2,3,2048,512,1.14837,2
lu_omp_2,3,2048,512,1.18701,2
lu_omp_2,3,2048,512,1.14899,2
lu_omp_2,3,3072,512,3.61621,2
lu_omp_2,3,3072,512,3.61536,2
lu_omp_2,3,3072,512,3.62129,2
lu_omp_2,3,4096,512,8.27568,2
lu_omp_2,3,4096,512,8.30134,2
lu_omp_2,3,4096,512,8.30065,2
lu_omp_2,3,5120,512,16.2899,2
lu_omp_2,3,5120,512,16.3429,2
lu_omp_2,3,5120,512,16.3235,2
lu_omp_2,3,6144,512,28.8621,2
lu_omp_2,3,6144,512,28.8392,2
lu_omp_2,3,6144,512,28.8311,2
lu_omp_2,3,7168,512,45.4904,2
lu_omp_2,3,7168,512,45.5558,2
lu_omp_2,3,7168,512,45.4979,2
lu_omp_2,3,8192,512,67.236,2
lu_omp_2,3,8192,512,67.2147,2
lu_omp_2,3,8192,512,67.2818,2
