Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_2,4,1024,256,0.14131,2
lu_omp_2,4,1024,256,0.140486,2
lu_omp_2,4,1024,256,0.140586,2
lu_omp_2,4,2048,256,0.968768,2
lu_omp_2,4,2048,256,0.969665,2
lu_omp_2,4,2048,256,0.969457,2
lu_omp_2,4,3072,256,3.17232,2
lu_omp_2,4,3072,256,3.16125,2
lu_omp_2,4,3072,256,3.16122,2
lu_omp_2,4,4096,256,7.38528,2
lu_omp_2,4,4096,256,7.38951,2
lu_omp_2,4,4096,256,7.39812,2
lu_omp_2,4,5120,256,14.6495,2
lu_omp_2,4,5120,256,14.6683,2
lu_omp_2,4,5120,256,14.6791,2
lu_omp_2,4,6144,256,25.3694,2
lu_omp_2,4,6144,256,25.3904,2
lu_omp_2,4,6144,256,25.3862,2
lu_omp_2,4,7168,256,40.251,2
lu_omp_2,4,7168,256,40.2712,2
lu_omp_2,4,7168,256,41.061,2
lu_omp_2,4,8192,256,59.7576,2
lu_omp_2,4,8192,256,59.7698,2
lu_omp_2,4,8192,256,59.7642,2
