Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_3,2,1024,256,0.227506,3
lu_omp_3,2,1024,256,0.226937,3
lu_omp_3,2,1024,256,0.226723,3
lu_omp_3,2,2048,256,1.76958,3
lu_omp_3,2,2048,256,1.7713,3
lu_omp_3,2,2048,256,1.77263,3
lu_omp_3,2,3072,256,5.95164,3
lu_omp_3,2,3072,256,5.95611,3
lu_omp_3,2,3072,256,5.95485,3
lu_omp_3,2,4096,256,14.0921,3
lu_omp_3,2,4096,256,14.0998,3
lu_omp_3,2,4096,256,14.098,3
lu_omp_3,2,5120,256,27.6978,3
lu_omp_3,2,5120,256,27.7184,3
lu_omp_3,2,5120,256,27.7239,3
lu_omp_3,2,6144,256,47.9988,3
lu_omp_3,2,6144,256,48.0222,3
lu_omp_3,2,6144,256,48.049,3
lu_omp_3,2,7168,256,76.0957,3
lu_omp_3,2,7168,256,76.067,3
lu_omp_3,2,7168,256,76.1181,3
lu_omp_3,2,8192,256,113.738,3
lu_omp_3,2,8192,256,113.655,3
lu_omp_3,2,8192,256,113.596,3
