Exp,Op,Matrix Size,Block Size,Time,P
matmul_cuda,1,1024,16,0.015128,N/A
matmul_cuda,1,1024,16,0.015054,N/A
matmul_cuda,1,1024,16,0.015053,N/A
matmul_cuda,0,,,,
matmul_cuda,1,2048,16,0.120009,N/A
matmul_cuda,1,2048,16,0.11995,N/A
matmul_cuda,1,2048,16,0.119901,N/A
matmul_cuda,0,,,,
matmul_cuda,1,3072,16,0.403861,N/A
matmul_cuda,1,3072,16,0.403796,N/A
matmul_cuda,1,3072,16,0.403782,N/A
matmul_cuda,0,,,,
matmul_cuda,1,4096,16,0.957287,N/A
matmul_cuda,1,4096,16,0.957285,N/A
matmul_cuda,1,4096,16,0.957019,N/A
matmul_cuda,0,,,,
matmul_cuda,1,5120,16,1.86933,N/A
matmul_cuda,1,5120,16,1.86891,N/A
matmul_cuda,1,5120,16,1.86876,N/A
matmul_cuda,0,,,,
matmul_cuda,1,6144,16,3.23476,N/A
matmul_cuda,1,6144,16,3.2405,N/A
matmul_cuda,1,6144,16,3.24238,N/A
matmul_cuda,0,,,,
matmul_cuda,1,7168,16,5.14871,N/A
matmul_cuda,1,7168,16,5.15564,N/A
matmul_cuda,1,7168,16,5.1525,N/A
matmul_cuda,0,,,,
matmul_cuda,1,8192,16,7.72461,N/A
matmul_cuda,1,8192,16,7.78189,N/A
matmul_cuda,1,8192,16,7.78212,N/A
matmul_cuda,0,,,,
