Exp,Op,Matrix Size,Block Size,Time,P
matmul_omp_1,1,1024,512,0.654204,1
matmul_omp_1,1,1024,512,0.652656,1
matmul_omp_1,1,1024,512,0.653054,1
matmul_omp_1,1,2048,512,5.24079,1
matmul_omp_1,1,2048,512,5.24275,1
matmul_omp_1,1,2048,512,5.24185,1
matmul_omp_1,1,3072,512,17.7339,1
matmul_omp_1,1,3072,512,17.7243,1
matmul_omp_1,1,3072,512,17.7386,1
matmul_omp_1,1,4096,512,45.0606,1
matmul_omp_1,1,4096,512,45.0936,1
matmul_omp_1,1,4096,512,45.0605,1
matmul_omp_1,1,5120,512,90.1548,1
matmul_omp_1,1,5120,512,90.1624,1
matmul_omp_1,1,5120,512,90.088,1
matmul_omp_1,1,6144,512,159.024,1
matmul_omp_1,1,6144,512,158.998,1
matmul_omp_1,1,6144,512,158.912,1
matmul_omp_1,1,7168,512,258.562,1
matmul_omp_1,1,7168,512,258.893,1
matmul_omp_1,1,7168,512,257.967,1
matmul_omp_1,1,8192,512,390.735,1
matmul_omp_1,1,8192,512,390.709,1
matmul_omp_1,1,8192,512,390.646,1
