Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_3,3,1024,256,0.116553,3
lu_omp_3,3,1024,256,0.116137,3
lu_omp_3,3,1024,256,0.116369,3
lu_omp_3,3,2048,256,0.719219,3
lu_omp_3,3,2048,256,0.719248,3
lu_omp_3,3,2048,256,0.718899,3
lu_omp_3,3,3072,256,2.27567,3
lu_omp_3,3,3072,256,2.29379,3
lu_omp_3,3,3072,256,2.27942,3
lu_omp_3,3,4096,256,5.2328,3
lu_omp_3,3,4096,256,5.25424,3
lu_omp_3,3,4096,256,5.24131,3
lu_omp_3,3,5120,256,11.2976,3
lu_omp_3,3,5120,256,11.326,3
lu_omp_3,3,5120,256,11.3271,3
lu_omp_3,3,6144,256,20.1608,3
lu_omp_3,3,6144,256,20.1427,3
lu_omp_3,3,6144,256,20.1375,3
lu_omp_3,3,7168,256,31.5038,3
lu_omp_3,3,7168,256,31.4177,3
lu_omp_3,3,7168,256,31.538,3
lu_omp_3,3,8192,256,47.9997,3
lu_omp_3,3,8192,256,47.9331,3
lu_omp_3,3,8192,256,48.0291,3
