Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_1,4,1024,512,0.206293,1
lu_omp_1,4,1024,512,0.204013,1
lu_omp_1,4,1024,512,0.203446,1
lu_omp_1,4,2048,512,1.79881,1
lu_omp_1,4,2048,512,1.80126,1
lu_omp_1,4,2048,512,1.80269,1
lu_omp_1,4,3072,512,5.99242,1
lu_omp_1,4,3072,512,5.9802,1
lu_omp_1,4,3072,512,5.99732,1
lu_omp_1,4,4096,512,14.0567,1
lu_omp_1,4,4096,512,14.0703,1
lu_omp_1,4,4096,512,14.0937,1
lu_omp_1,4,5120,512,27.583,1
lu_omp_1,4,5120,512,27.615,1
lu_omp_1,4,5120,512,27.5881,1
lu_omp_1,4,6144,512,47.7966,1
lu_omp_1,4,6144,512,47.8108,1
lu_omp_1,4,6144,512,47.8045,1
lu_omp_1,4,7168,512,75.7377,1
lu_omp_1,4,7168,512,75.7237,1
lu_omp_1,4,7168,512,75.7204,1
lu_omp_1,4,8192,512,112.735,1
lu_omp_1,4,8192,512,112.718,1
lu_omp_1,4,8192,512,112.623,1
