Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_3,2,1024,512,0.242153,3
lu_omp_3,2,1024,512,0.241438,3
lu_omp_3,2,1024,512,0.242283,3
lu_omp_3,2,2048,512,1.80505,3
lu_omp_3,2,2048,512,1.80545,3
lu_omp_3,2,2048,512,1.8078,3
lu_omp_3,2,3072,512,6.05239,3
lu_omp_3,2,3072,512,6.05252,3
lu_omp_3,2,3072,512,6.05241,3
lu_omp_3,2,4096,512,14.2484,3
lu_omp_3,2,4096,512,14.2663,3
lu_omp_3,2,4096,512,14.2658,3
lu_omp_3,2,5120,512,28.1357,3
lu_omp_3,2,5120,512,28.158,3
lu_omp_3,2,5120,512,28.1618,3
lu_omp_3,2,6144,512,48.7171,3
lu_omp_3,2,6144,512,48.7381,3
lu_omp_3,2,6144,512,48.9188,3
lu_omp_3,2,7168,512,77.0095,3
lu_omp_3,2,7168,512,77.0358,3
lu_omp_3,2,7168,512,77.0416,3
lu_omp_3,2,8192,512,114.851,3
lu_omp_3,2,8192,512,114.883,3
lu_omp_3,2,8192,512,114.874,3
