Exp,Op,Matrix Size,Block Size,Time,P
matmul_omp_1,1,1024,128,0.701345,1
matmul_omp_1,1,1024,128,0.698961,1
matmul_omp_1,1,1024,128,0.69948,1
matmul_omp_1,1,2048,128,5.60994,1
matmul_omp_1,1,2048,128,5.60844,1
matmul_omp_1,1,2048,128,5.60811,1
matmul_omp_1,1,3072,128,18.987,1
matmul_omp_1,1,3072,128,19.0562,1
matmul_omp_1,1,3072,128,18.9623,1
matmul_omp_1,1,4096,128,45.402,1
matmul_omp_1,1,4096,128,45.4503,1
matmul_omp_1,1,4096,128,45.403,1
matmul_omp_1,1,5120,128,89.1279,1
matmul_omp_1,1,5120,128,89.173,1
matmul_omp_1,1,5120,128,89.1088,1
matmul_omp_1,1,6144,128,153.493,1
matmul_omp_1,1,6144,128,153.447,1
matmul_omp_1,1,6144,128,153.458,1
matmul_omp_1,1,7168,128,256.381,1
matmul_omp_1,1,7168,128,256.402,1
matmul_omp_1,1,7168,128,256.422,1
matmul_omp_1,1,8192,128,405.525,1
matmul_omp_1,1,8192,128,406.417,1
matmul_omp_1,1,8192,128,405.48,1
