Exp,Op,Matrix Size,Block Size,Time,P
matmul_sycl_cpu,3,1024,16,0.495933,N/A
matmul_sycl_cpu,3,1024,16,0.362824,N/A
matmul_sycl_cpu,3,1024,16,0.363362,N/A
matmul_sycl_cpu,3,2048,16,2.58364,N/A
matmul_sycl_cpu,3,2048,16,2.43567,N/A
matmul_sycl_cpu,3,2048,16,2.42403,N/A
matmul_sycl_cpu,3,3072,16,8.2095,N/A
matmul_sycl_cpu,3,3072,16,8.08657,N/A
matmul_sycl_cpu,3,3072,16,8.02802,N/A
matmul_sycl_cpu,3,4096,16,19.1407,N/A
matmul_sycl_cpu,3,4096,16,19.0358,N/A
matmul_sycl_cpu,3,4096,16,19.0051,N/A
matmul_sycl_cpu,3,5120,16,37.6759,N/A
matmul_sycl_cpu,3,5120,16,37.2915,N/A
matmul_sycl_cpu,3,5120,16,37.3221,N/A
matmul_sycl_cpu,3,6144,16,64.5113,N/A
matmul_sycl_cpu,3,6144,16,64.6488,N/A
matmul_sycl_cpu,3,6144,16,64.4369,N/A
matmul_sycl_cpu,3,7168,16,103.374,N/A
matmul_sycl_cpu,3,7168,16,102.93,N/A
matmul_sycl_cpu,3,7168,16,103.396,N/A
matmul_sycl_cpu,3,8192,16,152.521,N/A
matmul_sycl_cpu,3,8192,16,153.712,N/A
matmul_sycl_cpu,3,8192,16,152.615,N/A
